Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7833333333333333,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.6766917293233083
KNN,{'n_neighbors': 5},TransH,TransH Only,0.6416666666666666,0.6646442360728075,0.6677018633540373,0.7142857142857143,0.6864471304844391
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.6888888888888888,0.6879941165655451,0.7308488612836439,0.6904761904761906,0.6831953300973955
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.7208333333333332,0.7074849491262865,0.7849787512258908,0.6785714285714286,0.6841522227638863
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7333333333333332,0.7129267348112333,0.7994115724092841,0.6714285714285715,0.6826601240757707
KNN,{'n_neighbors': 5},DistMult,Baseline,0.7416666666666666,0.7165545919345311,0.809033453198213,0.6666666666666666,0.681665391617027
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.7023809523809523,0.705098741138689,0.7601239122651349,0.7142857142857143,0.700563691153465
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.7104166666666667,0.7055030651630196,0.771358423231993,0.7008928571428572,0.6934856540017061
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.7277777777777779,0.723888029248849,0.7738872258794186,0.7301587301587302,0.7191714184733583
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.7316666666666667,0.7223325596572974,0.7814985032914767,0.7178571428571429,0.7116482160199619
KNN,{'n_neighbors': 10},TransH,Baseline,0.8,0.7391304347826088,0.9444444444444444,0.6071428571428571,0.653846153846154
KNN,{'n_neighbors': 10},TransH,TransH Only,0.625,0.5695652173913044,0.6759259259259259,0.5,0.524764803541782
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.6833333333333332,0.6260869565217392,0.7654320987654321,0.5357142857142857,0.567791920309906
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.6916666666666667,0.6105908584169455,0.8240740740740741,0.5,0.5376325581186083
KNN,{'n_neighbors': 10},TransH,TransH + Tabular + FE,0.7133333333333333,0.6362987736900781,0.8481481481481481,0.5214285714285715,0.5608752772641175
KNN,{'n_neighbors': 10},DistMult,Baseline,0.7277777777777777,0.6534373838721667,0.8641975308641975,0.5357142857142857,0.5763704233611237
KNN,{'n_neighbors': 10},DistMult,DistMult Only,0.6976190476190476,0.639210065297022,0.8102388102388103,0.5510204081632654,0.5803213408291894
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular,0.7104166666666667,0.6517001114827201,0.8270145145145145,0.5580357142857143,0.5895119424563099
KNN,{'n_neighbors': 10},DistMult,DistMult FE Only,0.7314814814814815,0.6796474109237082,0.8266272808756469,0.6071428571428572,0.6305555165821689
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular + FE,0.7366666666666667,0.6840230953632522,0.8334382369986084,0.6071428571428571,0.6323854611071582
KNN,{'n_neighbors': 15},TransH,Baseline,0.8,0.75,0.9,0.6428571428571429,0.6818181818181819
KNN,{'n_neighbors': 15},TransH,TransH Only,0.6666666666666667,0.4083333333333333,0.7,0.3392857142857143,0.36283891547049446
KNN,{'n_neighbors': 15},TransH,TransH + Tabular,0.7111111111111112,0.5222222222222223,0.7666666666666666,0.4404761904761905,0.46916533758639023
KNN,{'n_neighbors': 15},TransH,TransH FE Only,0.7458333333333335,0.5957482993197278,0.8130952380952381,0.5089285714285715,0.5398439280018228
KNN,{'n_neighbors': 15},TransH,TransH + Tabular + FE,0.7533333333333334,0.6212794905196121,0.8294235588972431,0.5285714285714287,0.5616461347678705
KNN,{'n_neighbors': 15},DistMult,Baseline,0.7611111111111112,0.6427329087663434,0.8411862990810359,0.5476190476190477,0.5816748092762557
KNN,{'n_neighbors': 15},DistMult,DistMult Only,0.7214285714285715,0.6416702243207313,0.788686000716076,0.6071428571428571,0.6126950605292674
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular,0.7312500000000001,0.6552114462806399,0.8026002506265664,0.6116071428571428,0.6213354506903817
KNN,{'n_neighbors': 15},DistMult,DistMult FE Only,0.701851851851852,0.6531172451787506,0.7652742968532442,0.6547619047619047,0.6427374548772384
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular + FE,0.7116666666666667,0.6628055206608756,0.7787468671679199,0.6535714285714286,0.6466455275713328
KNN,{'n_neighbors': 20},TransH,Baseline,0.7666666666666667,0.6956521739130435,0.8888888888888888,0.5714285714285714,0.6153846153846154
KNN,{'n_neighbors': 20},TransH,TransH Only,0.65,0.34782608695652173,0.4444444444444444,0.2857142857142857,0.3076923076923077
KNN,{'n_neighbors': 20},TransH,TransH + Tabular,0.6944444444444445,0.46892109500805157,0.6100217864923747,0.38095238095238093,0.4118465513814351
KNN,{'n_neighbors': 20},TransH,TransH FE Only,0.7208333333333334,0.5364734299516909,0.6936274509803921,0.4375,0.4723464519976148
KNN,{'n_neighbors': 20},TransH,TransH + Tabular + FE,0.7333333333333334,0.5714009661835749,0.7431372549019608,0.46428571428571425,0.5019081693500299
KNN,{'n_neighbors': 20},DistMult,Baseline,0.7388888888888889,0.592109500805153,0.767429193899782,0.48214285714285704,0.5208209103557941
KNN,{'n_neighbors': 20},DistMult,DistMult Only,0.7095238095238096,0.5253795721187026,0.7292250233426704,0.423469387755102,0.45873319409806984
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular,0.71875,0.5485960144927537,0.755718954248366,0.4419642857142857,0.47891092468077234
KNN,{'n_neighbors': 20},DistMult,DistMult FE Only,0.712962962962963,0.5695122468005764,0.7365649963689179,0.503968253968254,0.5229208219384643
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular + FE,0.7183333333333334,0.5821262395118231,0.7517973856209149,0.5107142857142857,0.5321672012830794
KNN,{'n_neighbors': 25},TransH,Baseline,0.7833333333333333,0.7234042553191489,0.8947368421052632,0.6071428571428571,0.648854961832061
KNN,{'n_neighbors': 25},TransH,TransH Only,0.6583333333333333,0.36170212765957444,0.4473684210526316,0.30357142857142855,0.3244274809160305
KNN,{'n_neighbors': 25},TransH,TransH + Tabular,0.7000000000000001,0.48226950354609927,0.5964912280701754,0.4047619047619047,0.43256997455470736
KNN,{'n_neighbors': 25},TransH,TransH FE Only,0.6625000000000001,0.37894350696991924,0.6973684210526316,0.3125,0.3354894278186854
KNN,{'n_neighbors': 25},TransH,TransH + Tabular + FE,0.6866666666666668,0.4478356566397652,0.736842105263158,0.37142857142857144,0.39816253462136053
KNN,{'n_neighbors': 25},DistMult,Baseline,0.7027777777777778,0.49376375641966247,0.7631578947368421,0.41071428571428575,0.439944605823144
KNN,{'n_neighbors': 25},DistMult,DistMult Only,0.6595238095238096,0.48816114186620424,0.7105263157894737,0.42857142857142855,0.44852394784840915
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular,0.6770833333333334,0.5208909991329287,0.7342105263157895,0.45535714285714285,0.4776857270946307
KNN,{'n_neighbors': 25},DistMult,DistMult FE Only,0.701851851851852,0.5617796535502576,0.7551956815114711,0.5,0.52122789268315
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular + FE,0.7100000000000001,0.5779421137271468,0.7691497975708502,0.5107142857142857,0.5339905995980411
KNN,{'n_neighbors': 30},TransH,Baseline,0.7833333333333333,0.7234042553191489,0.8947368421052632,0.6071428571428571,0.648854961832061
KNN,{'n_neighbors': 30},TransH,TransH Only,0.6,0.38872915468660146,0.5029239766081871,0.3214285714285714,0.3450886379408239
KNN,{'n_neighbors': 30},TransH,TransH + Tabular,0.6611111111111111,0.5002875215641173,0.6335282651072124,0.4166666666666667,0.4463440792379029
KNN,{'n_neighbors': 30},TransH,TransH FE Only,0.7,0.5641045300619768,0.7251461988304093,0.4642857142857143,0.49948674159896983
KNN,{'n_neighbors': 30},TransH,TransH + Tabular + FE,0.72,0.6012836240495815,0.7601169590643274,0.5,0.5359530296428122
KNN,{'n_neighbors': 30},DistMult,Baseline,0.7305555555555555,0.6216370625945093,0.7825536062378168,0.5178571428571429,0.5547700183410204
KNN,{'n_neighbors': 30},DistMult,DistMult Only,0.7023809523809523,0.5423555774619604,0.7421888053467001,0.4489795918367347,0.4817828227384185
KNN,{'n_neighbors': 30},DistMult,DistMult + Tabular,0.7125,0.5649866621941089,0.7612573099415205,0.46875,0.5026668401251237
KNN,{'n_neighbors': 30},DistMult,DistMult FE Only,0.7074074074074075,0.5840817114240031,0.7414879792072775,0.5277777777777778,0.5440371912223322
KNN,{'n_neighbors': 30},DistMult,DistMult + Tabular + FE,0.7166666666666667,0.6006735402816028,0.7573391812865498,0.5392857142857144,0.5578152902819171
KNN,{'n_neighbors': 35},TransH,Baseline,0.8,0.75,0.9,0.6428571428571429,0.6818181818181819
KNN,{'n_neighbors': 35},TransH,TransH Only,0.6666666666666667,0.375,0.45,0.32142857142857145,0.34090909090909094
KNN,{'n_neighbors': 35},TransH,TransH + Tabular,0.7111111111111112,0.5,0.6,0.4285714285714286,0.4545454545454546
