Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7868852459016393,0.7547169811320756,0.8,0.7142857142857143,0.7299270072992701
KNN,{'n_neighbors': 5},TransH,TransH Only,0.6639344262295082,0.3773584905660378,0.4,0.35714285714285715,0.36496350364963503
KNN,{'n_neighbors': 5},TransH,TransH Only + t-SNE,0.540983606557377,0.31446540880503154,0.3333333333333333,0.2976190476190476,0.30413625304136255
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.6024590163934426,0.4245283018867926,0.45,0.4017857142857143,0.41058394160583944
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + t-SNE,0.5508196721311476,0.4219755826859046,0.43,0.42142857142857143,0.4205724164425663
KNN,{'n_neighbors': 5},TransH,TransH Tabular + FE Only,0.5901639344262295,0.47743248242693315,0.4916666666666667,0.4702380952380953,0.4721315149186836
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.6182669789227165,0.5170445536705249,0.5357142857142857,0.5051020408163266,0.5089594424016245
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE + t-SNE,0.5901639344262295,0.5040012860490108,0.5151785714285714,0.5,0.5006116209449589
KNN,{'n_neighbors': 5},TransH,TransH Clustered,0.6174863387978142,0.5368900320435652,0.5589466089466089,0.5238095238095238,0.5279068471417877
KNN,{'n_neighbors': 5},TransH,TransH Interaction,0.6360655737704918,0.5592010288392086,0.5894155844155844,0.5392857142857144,0.5460116848156686
KNN,{'n_neighbors': 5},DistMult,Baseline,0.6497764530551415,0.5769752063203784,0.6085596221959858,0.5551948051948052,0.5627312595869051
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.6325136612021858,0.5633766977477032,0.5911796536796536,0.5446428571428572,0.5510482555602968
KNN,{'n_neighbors': 5},DistMult,DistMult Only + t-SNE,0.6254728877679697,0.5200400286901875,0.5457042957042957,0.5027472527472528,0.5086599282095048
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.635831381733021,0.5350921145529763,0.5632730364873222,0.5153061224489797,0.5222220341777334
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + t-SNE,0.633879781420765,0.5418435493403536,0.5625636059846586,0.5309523809523811,0.5340738985658845
KNN,{'n_neighbors': 5},DistMult,DistMult Tabular + FE Only,0.6424180327868853,0.5536514044296585,0.5768825472772842,0.5401785714285714,0.5443523681408109
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.6499517839922854,0.5640701000966921,0.5895169072413654,0.5483193277310924,0.5534216060010401
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE + t-SNE,0.6411657559198543,0.568492770142406,0.5831313163494252,0.5734126984126984,0.5681600417950043
KNN,{'n_neighbors': 5},DistMult,DistMult Clustered,0.6540120793787747,0.5845051123837147,0.5992238201672917,0.5883458646616542,0.5836942160435823
KNN,{'n_neighbors': 5},DistMult,DistMult Interaction,0.6622950819672131,0.5944955430390388,0.6127408900284924,0.5946428571428571,0.5915465422784403
KNN,{'n_neighbors': 5},Autoencoder,Baseline,0.6682279469164715,0.6021251353291834,0.6216579905033262,0.6003401360544217,0.5981360882318131
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only,0.6661698956780924,0.6046065572646954,0.6190418347578369,0.6087662337662337,0.6040606670027331
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only + t-SNE,0.6535994297933001,0.5933118193926172,0.6066197260002498,0.5978260869565217,0.5931064065268029
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular,0.6536885245901639,0.5971974587587209,0.6059165536562222,0.6071428571428571,0.6001265314204156
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + t-SNE,0.6478688524590165,0.5945595604083721,0.6005687803988622,0.6071428571428572,0.599094443136572
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Tabular + FE Only,0.6538461538461539,0.6019116652278304,0.6076897613725323,0.614010989010989,0.606272129389561
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE,0.6557377049180327,0.6055445665156886,0.6094882887291051,0.6190476190476191,0.6108237789183427
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE + t-SNE,0.6510538641686183,0.5966163875528265,0.6045275725349983,0.6071428571428571,0.6000828410776821
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Clustered,0.651215375918598,0.5990319144188211,0.6043714493441364,0.6120689655172413,0.6040208711883039
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Interaction,0.6464480874316939,0.5790641839381937,0.5842257343659986,0.5916666666666667,0.5838868421486938
KNN,{'n_neighbors': 5},RDF2Vec,Baseline,0.6509783183500794,0.5847304032025126,0.5911861945477406,0.5956221198156683,0.5885978152180672
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Only,0.6475409836065574,0.5664575781024339,0.5727116259681237,0.5770089285714286,0.5702041334925025
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Only + t-SNE,0.6418281172379534,0.5683592721946652,0.5692663158915935,0.5898268398268398,0.5774479038385872
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec + Tabular,0.645612343297975,0.5731360356821524,0.5758075026790956,0.592436974789916,0.5810091246599436
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec + Tabular + t-SNE,0.6477751756440282,0.5778596214758492,0.5778886782782258,0.6,0.5874194104558532
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Tabular + FE Only,0.6516393442622952,0.5827723259107445,0.5840584372149418,0.6031746031746033,0.5913779548126148
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec + Tabular + FE,0.6548515728843599,0.5867722422582711,0.5896694704433667,0.6052123552123552,0.5942739401356444
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec + Tabular + FE + t-SNE,0.6488352027610009,0.586275636792735,0.5855719123830397,0.6109022556390977,0.5969764600523298
